contam	ensembl_id	RNA004060L1	RNA004061L1	RNA004062L1	RNA004063L1	RNA004064L1	RNA004065L1	RNA004066L1	RNA004067L1	RNA004068L1	RNA004069L1	RNA004070L1	RNA004071L1	RNA004072L1	RNA004073L1	RNA004074L1	RNA004075L1	RNA004076L1	RNA004077L1	RNA004078L1	RNA004079L1	RNA004080L1	RNA004081L1	RNA004082L1	RNA004083L1	RNA004084L1	RNA004085L1	RNA004086L1	RNA004087L1	RNA004088L1	RNA004089L1	RNA004090L1	RNA004091L1	RNA004092L1	RNA004093L1	RNA004094L1	RNA004095L1	RNA004096L1	RNA004097L1	RNA004098L1	RNA004099L1	RNA004100L1	RNA004101L1	RNA004102L1	RNA004103L1	RNA004104L1	RNA004105L1	RNA004106L1	RNA004107L1	RNA004108L1	RNA004109L1	RNA004110L1
tRNA	tRNA73-GlyTCC	3						2					1				1																				3															
tRNA	tRNA74-GluCTC	22	138	62	72	320	18	388	452	309	226	110	136	12	31	247	92	31	137	111	163	41		351	1	550	50	9	21	73	151	29	116	308	290	105	117	22	9	188	121		133	24	21	13	97	1	71	39		34
tRNA	tRNA76-LysTTT	1	1	2	5	6	4	8	11	8	4	12	4	1	1	10	1					4							4			2	1	1	6	1						7	12	1	4	7				1		
tRNA	tRNA77-GluCTC	237	574	75	249	84	16	78	140	206	455	573	196	722	110	485	218	113	38	134	76	469	21	3	38	267	128	334	82	19	158	525	166	118	173	155	128	214	46	99	292	17	146	540	45	454		242	29	40	3	99
tRNA	tRNA78-AspGTC	3	3	5	5	15	8	4	8	15	12		6	2	5	2									39					5			2	9				1							1	4				1		1
tRNA	tRNA8-ArgACG	1	1		3													12			9							4	1									2					13		1		1					
tRNA	tRNA8-HisGTG	1		1	2							1		1	5					1									3					1		2	7	3		3	2	3		4				1				
tRNA	tRNA8-ProTGG	1			1	1	5	10	2	2			1	7	1	23	3			1		19		4			2			2			1					1		179	1	1	7	2	2						2	
tRNA	tRNA8-SeCTCA	5	1	15	9	12	9	14	12	13	7	4	6	19	10	7	1	1	1	4	4				1	31	9		1	1	6	14	4		28	3	5	3	3	8	1			6	3	4						
tRNA	tRNA80-GluCTC	56	18	11	50	98	15	288	81	8	195	26	86	23	363	276	99		118	519	42	19	194	98	1	3	108	29	14	61	7	52	74	30	56	17	62	192	190	302	46	82	16	128	41	18	1	217	42	139	31	1
tRNA	tRNA81-AspGTC	2				1	17	18	18		10	5			1	6				11	2						33		1			6	2	1						3				6	7							
tRNA	tRNA84-GluTTC	1	1	1		1		1			18	2		10	1	1																4	6		7	7								4		1						
tRNA	tRNA87-GluCTC	362	126	23	86	19	192	62	113	204	111	26	105	428	285	63	11	313	178	146	161	60	3	177	1	48	179	58	76	39	15	212	54	36	8	12	10	103	13	23	47	14	193	86	170	49	42	56	46	1	41	87
tRNA	tRNA9-AlaAGC	1																																1																		
tRNA	tRNA9-ArgTCT	5	20	12	18	29	37	19	27	14	27	23	30	18	22	15		1	11	24	5	4	1			39	30	37	11	3	9	17	18	16		16	24	7	3	7	37	32	29	11	14	16				29		
tRNA	tRNA9-ProAGG	2		1	1	3	7	1		24	7		4	1		1				8	20										1				9			17	13			1		3		9						
tRNA	tRNA99-GlnCTG	29	31	21	11	15	21	17	12	21	32	32	17	18	26	34	7	16	21	18	14	8		3	1	14	71	5	21	8	10	23	4	24	47	27	24	10	9	8	19	19	45	44	25	22		2		28	1	4
misc_RNA	ENSG00000199422		2						2	3	4	1		1	11	8						5					15		2			4		1	21				2				8		6							
misc_RNA	ENSG00000199781		1	11				2	2		2		14		7			162			4				1	5	1	9	94	10					1		14	6		3	3		1			1			54		15	
misc_RNA	ENSG00000200674		1																																										2							
misc_RNA	ENSG00000201023		2		1		1	4	2	1	1			2	1	1	1		4		1	1				2	4	2	1			1		1				7	5	2	2	1		1	1	1	2	2	1	1		
misc_RNA	ENSG00000201071		4			11	2						2																1		7			6		1							1	12								1
misc_RNA	ENSG00000201208		1	8	6	20	29	1	1	8	2	16	5	2	2	1		1	1	10		6				5	3	2	6	6	13		17	6	10	1	5	2		4	5	1	28	5	1	10				1	1	
misc_RNA	ENSG00000201218		1																																																	
misc_RNA	ENSG00000201239		1	1		3												1	1		1	1					1		4			6		3			1									1						
misc_RNA	ENSG00000201339		1				6		7		3				28				11		4						2	47				1								4		5	200	14	29	38			9			
misc_RNA	ENSG00000201377		3	4	1			4	2	1			1	3		1		2		1		2	1		2	5							2	2		8		2			3	1				1	1			1	4	
misc_RNA	ENSG00000201638		2			129			2	1			2				23	2				1						2											4		1									2	11	
misc_RNA	ENSG00000202027		1							1								1																					1					1			1					
misc_RNA	ENSG00000206717		1				1		10			4				1	34																7				4															
misc_RNA	ENSG00000206995		2	101		8			8					25		31								64			48	166				3		14	33	139	17	4	10	24	1	3		1		90			45			
misc_RNA	ENSG00000207101		4								2		1																																							
misc_RNA	ENSG00000207383		12	2			82	26	3	7						2	12		6	1	5		43			31		30		2	9			1		1	13			37	81		237	1	1	5						
misc_RNA	ENSG00000212325		1			7		15				5				2											2			1		2	4	1									3									
misc_RNA	ENSG00000222529		1	1	2	9	6	7	3	3	1	1	58	1					3		15	15							1	1				3		14	35	2	1					13	32	1			1			
misc_RNA	ENSG00000239748		1	1						13			2		4		3													2			1							6				1			3					
misc_RNA	ENSG00000239899		4	2	1	1	3	18	7	9	1	1	1	6	38	11	8			9	1	17				4	4		2		1	5	4	2			14	12	22	14	1	1	14	5	3	8		22	12	17		45
misc_RNA	ENSG00000240869		6				1	14		4	13	2	1	10	6	6	7			1	6	6					31	8					2	1	7	15	12	16	22	4	6	10	7	13	5			52	7	1	3	
misc_RNA	ENSG00000251852		2			1		3			1	2	1		1	2					38	1										78	25					6	1	4					31	3			12			
misc_RNA	ENSG00000252034		3	1	3	3	5	22	10	4	21			1	1	3	19		1			1				2	1	10	1		1	35	6	5				3	1	4	13		1	4	1	1			1			
misc_RNA	ENSG00000252412		1	2		2	1	1			3	2		3							1						1	2	1				1			1		3	1						2		1				1	
misc_RNA	ENSG00000252744		2					1		1			1							1													1													1						
misc_RNA	ENSG00000265802		3		5		1	3	10	1	3		2	1	6	21				9		6										2	2	5	6		7	6				17	4		4	4				29		1
misc_RNA	ENSG00000275745		1	1	1	2	6	3	3	1	7	5	2		3	7	2		6											4		1	1		1	2	10	14	2						1							
misc_RNA	ENSG00000276123		1																																																	
misc_RNA	ENSG00000276771		1																																																	
misc_RNA	ENSG00000277925		1												1																		1																			
piRNA	uc021ubl.1		1																																													40				
rRNA	ENSG00000199480		20	2		4	7	9	5	5		17		10	4	6	2				51	4	1				2		2		4	1			19	31	8	95	66	36		1	2	8		17	7	2		3	1	87
rRNA	ENSG00000199525		8		2		4			3	45			6	1		13																					11	3	4												
rRNA	ENSG00000200168		1					2			1	1	2	10	2	1		1									7	5	1						1		21	14	5	1	3			1			2		1	1	1	1
rRNA	ENSG00000200527		3			1							1		1	2		1																	1					4			1								2	1
rRNA	ENSG00000200587		2	6	2	4	2	6	8	3	1	3	5	2	17	2				4	10	4					1		1			3		2	9	18	29	29	26	25			9	3		6	1			2		
rRNA	ENSG00000201356		1	1	49	62	24	44	25	23	5	3	2	2	5	1	24	2	1			6		72	2		10		4	11	2				14	5	1	7	219	6				1	1	1						
rRNA	ENSG00000202474		1							1				2		2		1								1								1	2	1		1	1	1	1						1		1		1	15
rRNA	ENSG00000212396		2						8							2	8				58						1	20						3	4		5	1		3	4			1						1		
rRNA	ENSG00000222971		1			1																																														
rRNA	ENSG00000283291		1	3	6	3	1	5	1	3		6	2	12	3	14	1	7	3	3	1		5		4	15	12	15	3	1		1			1	2	3	16		9			1				4	14	67	10	11	222
snoRNA	ENSG00000201772		1									1																																								
snoRNA	ENSG00000202031		2									1																								9			1	1	17											
snoRNA	ENSG00000202142		1																																			1														
snoRNA	ENSG00000202363		1		2																																															
snoRNA	ENSG00000207047		1							3																																										
snoRNA	ENSG00000212283		1	1				7			2			4								3					1						1				2							1		2						
snoRNA	ENSG00000221500		4	5	5			3	1	4	3	10	6		2	7					3	4				25			6			6	5				7	15	3	33				9	6	5						
snoRNA	ENSG00000221514		1			1		4								4													3																							
snoRNA	ENSG00000263776		1																																																	
snoRNA	ENSG00000275072		1												1							2																	1													
snoRNA	ENSG00000281000		1					4	12			3	4		4	5				3						4				7	3	1		4	14			11				9			11	3						1
snRNA	ENSG00000199664		3																														1																			
snRNA	ENSG00000200389		2																																																	
snRNA	ENSG00000202337		1																																											1						
snRNA	ENSG00000207052		1																																																	
snRNA	ENSG00000207134		1																																																	
snRNA	ENSG00000207340		1								1	1			1				2																						3											
snRNA	ENSG00000222640		2	2	2		1	2			5		1		2	1										1					1																					
snRNA	ENSG00000222923		4																																																	
snRNA	ENSG00000223001		2					35		19		12	1	7	1		4	2		1								16							5								4									6
snRNA	ENSG00000252847		3				1																																													
tRNA	tRNA1-HisGTG		2						1						3					3											2			2						2												
tRNA	tRNA10-GlyTCC		1											2		1																						1														
tRNA	tRNA100-LeuCAA		4	4		1	2	4	6	3	3		3	1		9		8		8	1							17			3	1	4	2	10	2		1	2	6		10	1	8	3	3						
tRNA	tRNA11-PheGAA		3	1	1						1																		3			1				1	5										1					
tRNA	tRNA11-ProAGG		1			7		3	143		1	2		1	7					2		6							2		1				1			19	4		3		21	15							30	5
tRNA	tRNA111-HisGTG		2	1		1		2					1	2											1					1	2				4		2			3				1	3	1						
tRNA	tRNA12-AspGTC		1				3	3	5	10	2	15	3	12	16	13		1			5								1		8			2				4	7		2											
tRNA	tRNA124-ArgTCG		2							1	3			1		1					7	1											3					2							5	1						1
tRNA	tRNA127-CysGCA		5								5			1							15								1																4							
tRNA	tRNA13-AlaCGC		2								1										8																															
tRNA	tRNA13-AlaTGC		1	1	3	1	2	4	1						7	11								2					1						15		1				12		1			2						1
tRNA	tRNA130-GlnTTG		1	3		3	1	1	2	1	7	4	1	1	2	2			1			5					6			1		1	2	1	5			2	2	3	16	7		3	5	7		6				
tRNA	tRNA145-SerAGA		1				1	2	1	2	2		2													2	1																									
tRNA	tRNA16-GlnTTG		3				2	4		2	3	5		4	2	1			1	1		7		9		1			2		1		1		1	1		1		3	7	3		2	4	1					6	
tRNA	tRNA166-AlaAGC		1						2																																	1										
tRNA	tRNA171-MetCAT		1	2			3				3	1	1						5		3	1								1			2	1			2	1			1	1		12								
tRNA	tRNA173-GlnTTG		1	2		6	2	4	5	2	3	5	4	1	2	1	30	25	1		1	1	6	1				4		1	2	1		2			1	1			1			2		10			1			
tRNA	tRNA2-ArgCCT		4		2							1								3																								3								
tRNA	tRNA21-CysGCA		2			5			4		2			5			17				4								2														3	3								
tRNA	tRNA21-HisGTG		1							3		2						1		3																		3				10										
tRNA	tRNA23-ArgCCG		3				1	2	4		2	1	4	7	4	4										4	4								8	6	7			2			2	2		1						
tRNA	tRNA3-AlaAGC		2																																																	
tRNA	tRNA35-GlyGCC		22		4	17	31	6	1		27	1			7	2	2	25	211	8	4	15				2		1211	2	1		36	1		1	1	6	6	4	47	94	3	1	4	7	6	2			82		
tRNA	tRNA4-LysCTT		3	8	4	2	1	6	5	3	7	4	13	3	1	9	1		13	18		7					6	3	3	5	3	14	8	8	14	4	2	4	2	4		4	14	17	8	2	5	1				3
tRNA	tRNA42-GlnCTG		1		1			6			1	1	2	1		1				2	4	6						10			1	1		5	7		4			2	9			3								5
tRNA	tRNA5-GlyGCC		2	21	1	1			2	1	4		1		1	5		3		20	3	31		2		2	5		5	2	5	1	1	4		13		5	38	6	13	1		5	2	1					1	
tRNA	tRNA5-LysTTT		8					3	1								10							1					2				1			1			3		2				1							
tRNA	tRNA56-ThrTGT		3																				1						1												15											
tRNA	tRNA6-ProCGG		1					2	7	14	2				5					17				1									3		26	2		1							16							
tRNA	tRNA6-ProTGG		1			3				1			15	1		7	2			5						1			3			16	1		1	1	3		1	15	2		1	3			4					
tRNA	tRNA64-GlnTTG		1	2					3	1	1		1	1	4	2				1	1					1					3	1		1	10	2	1				8		2	1			1					
tRNA	tRNA79-GlyTCC		1									1																																								
tRNA	tRNA8-AlaTGC		1							1												2					1				1	3			1					1					3							
tRNA	tRNA91-PseudoCCC		1	1			1		1		3		2				1	37				1						1	1			1	1					2			1											
tRNA	tRNA98-ValCAC		1																																																	
misc_RNA	ENSG00000199201			1																																																
misc_RNA	ENSG00000199285			1	4		1	1		1																			3				2											2								
misc_RNA	ENSG00000199303			2							7																													1				1								
misc_RNA	ENSG00000199635			2				5	2			1	1	1	2	1					2					7			2						1			2		3			3	1		6						
misc_RNA	ENSG00000199667			3					4		2																												1													
misc_RNA	ENSG00000199866			1				1					2	2				1	1	2	1	3		3		3	1	1	1	1								9	1	5			1	1					1	1		1
misc_RNA	ENSG00000200171			1	4			1	1	28	1	1	1	37	1	1		12	1					3		18			1		1	1			1	3	3	1	1	17	10	1		2		1	5	31		5		
misc_RNA	ENSG00000200208			2		1	3				2			1								4		9					4									1		1						3						
misc_RNA	ENSG00000200314			15	1	1	6	2	2	4	6	9	34	7	2					90	2	1	1	90		2	1			6			3		5	2	131	24	188	10				1		7			2	11	1	
misc_RNA	ENSG00000200888			1				1	14		20																	18	5	4			1					1	2				11									
misc_RNA	ENSG00000201034			1																						1								3																		
misc_RNA	ENSG00000201277			4				1					1		7	9	23			14						4						1					2								4							
misc_RNA	ENSG00000201548			6	15	7	18	9	12	6	7	4	6	9	2	60	1	5	26	3	2	2	5	1	1	4	10	12	40	1	1	2	4	67	3	1	9	2		10	8	4	40	11	6	10	3					
misc_RNA	ENSG00000201984			1												1																																				
misc_RNA	ENSG00000202254			1	2									1		1	1									2																		1			1					
misc_RNA	ENSG00000202402			1								1	1				1									2											1									1						
misc_RNA	ENSG00000206617			1																																																
misc_RNA	ENSG00000206640			1					1					2	1	1																						5		8	1			2								
misc_RNA	ENSG00000206790			2	1				2											1						8																1								1		
misc_RNA	ENSG00000206950			1																																																
misc_RNA	ENSG00000206978			9		7	14	18							19	13						24								2					8	1						5			12							
misc_RNA	ENSG00000207271			1		1		2		6	5		1		2	2					1						6			3				2						5	2			2	5	1						
misc_RNA	ENSG00000207494			8				1	2		2		11	2	1	1						1								13	11	21	1							3	7											
misc_RNA	ENSG00000223298			2			3	2			1	23	8		23	4							1		6	29			3			2	5		4	8	7	8	10		26		17	6	6	8			42		27	
misc_RNA	ENSG00000238845			1	4		1	2	6					3												16						6				1		3														
misc_RNA	ENSG00000239742			1												1																						1														
misc_RNA	ENSG00000240877			1												1																							1	1												
misc_RNA	ENSG00000243847			2		2		1	9	3	5	7	4	1	3	9					1							1	1			1	1	2					2	1	6					3						
misc_RNA	ENSG00000244264			3				2		1				1																		1		1			12	3	1	3					4							
misc_RNA	ENSG00000244389			1				1		1			1								2										2							1		2	5		3							4	1	
misc_RNA	ENSG00000244692			1						1					1	2																				1	3		1													
misc_RNA	ENSG00000252420			1				1			2			2	2		1					1										1			2			2			1											
misc_RNA	ENSG00000275930			1				1			1									1																					1			1								
piRNA	uc032pqw.1			2							2	3		1					1													1							3	3				2		2						
piRNA	uc032uye.1			1	1	1	3																				1								1		4			2										12	43	
rRNA	ENSG00000199373			1																				1																												
rRNA	ENSG00000199771			5	78	50	45	28	38	43	10	3	8	24	4	5		6	1	9	8	6	5			12		2	1	1	4	1	2	1	54	17	24	79	30	315	5	1	29	8		6	10	1	37	17	1	9
rRNA	ENSG00000200278			2	20				5														1			1								1			7	18	12	18		1		1			1				35	
rRNA	ENSG00000200839			1				1	1																		1									1		3						5								8
rRNA	ENSG00000201148			1				1				2				1																			1	1	2	2	1	1				1				2	2			1
rRNA	ENSG00000202322			1				4																																											1	
rRNA	ENSG00000202422			1				1																																												
rRNA	ENSG00000202472			14	3		22	12	220	5	18	1	16	4		37				1							3		18	3	2	3			13	20	3	220	16	6	1	4		1	2	15	38	22	32	42		4
rRNA	ENSG00000272351			29	1	45	256	24	3	77	2	1		3	2	7					1	9		93		2						1	1	3		5		78	8	4	1	2				6	2		1		12	
snoRNA	ENSG00000199266			1							1																																									
snoRNA	ENSG00000199477			3	2									1																		1						4								1						
snoRNA	ENSG00000200463			5		2				1		1		2																	1									1												
snoRNA	ENSG00000200959			4		4		1	1	1		1								2		1										4		1	7	1	4				1	1		4	2			1				
snoRNA	ENSG00000200983			1			1			1						1				3	3	1												1		1							1		1	3						
snoRNA	ENSG00000201754			1		3	5	3	3	3		2	1									2												1			4				11	8		8								
snoRNA	ENSG00000206612			1					1																													1								2						
snoRNA	ENSG00000207493			1																												1														1						
snoRNA	ENSG00000212232			3	2			5	1	2			2		1					9												1	5	5		2				1				6	1	5						
snoRNA	ENSG00000221539			1		1		2	1	2	5		2		2	1				12												1		1				1	2	3			2			5						
snoRNA	ENSG00000226572			4	2	1		2	1			1	1						13		3								1					2		3	2							4	3							
snoRNA	ENSG00000239195			1																																																
snoRNA	ENSG00000280554			1									2														17														1											
snRNA	ENSG00000200795			1			1													2															1					1	2										2	
tRNA	tRNA10-AspGTC			3	6		2	7	7	5	1			1	4	4		1								1			2			1	3										2			4						
tRNA	tRNA11-ArgACG			1	1	9	9		6	2	2	2	7		1	9											1		1	2		2		3		5	10	4					1	1	1			1	15			
tRNA	tRNA113-AlaTGC			1				1																					1			1																				
tRNA	tRNA119-LysCTT			15	3		1		9		2	1							11	1	3	1					1	1	5	13		10	2							1	4		4			1						
tRNA	tRNA12-PseudoGCA			3				9							7					7												4	6									4										
tRNA	tRNA128-LysCTT			4	1		3	1		2	2			1		1				1		1								1		1		1	1									2								
tRNA	tRNA131-GlnCTG			11	4		1	4		10	4	1	4	4	1	2			1		1	3	5		1	1	3	42	4		1						3	7		4		1			4	3		1		2	1	
tRNA	tRNA157-ValCAC			1			1		1				1		1	1							1														2			2												
tRNA	tRNA16-CysGCA			2					1	4					1														1	2	1			1			9							5		2						
tRNA	tRNA175-SerGCT			2	7	7	3	6	6		1	5	2		1	4		3				4					18		3		2	1	1		5	9	8	3		1	2									1		
tRNA	tRNA19-CysGCA			2				6													3														7					8												
tRNA	tRNA20-MetCAT			3			1	1	2	1	2	1		5					3	8												7													1	2						
tRNA	tRNA20-ThrTGT			1		1	1	3					1		1		6				4											1			10		1															
tRNA	tRNA25-PseudoCTC			2		1		1			2		2	1				1	3																				1				1					1		1		
tRNA	tRNA4-ArgTCT			1			1	2			1		1			2										32									2						4	1	14		1	1						
tRNA	tRNA42-LeuCAG			1	13	3	3		8													3						25		5																3						
tRNA	tRNA54-LysTTT			2		1		1	3		2	1	1	6		4			2							1	2			1	5		10	1	2		4					3			2	3						
tRNA	tRNA57-IleAAT			2																		1																			10											
tRNA	tRNA58-LeuCAA			1	1				2	1	1	2	1	5	8	3													4	3	2	1	3	1	1	2	1	3				4		3	3	2						
tRNA	tRNA6-PseudoCTT			1			2	1		1		1					5		1							3		1													1	1		2		3						
tRNA	tRNA6-ValTAC			1																																																
tRNA	tRNA66-AlaTGC			1			1	10									3					1																		1												
tRNA	tRNA75-AspGTC			4	6	9		6	10	2	1	8		15	24	7		23				3		35	1				3		2	6	1		1		1		6				6	4								1
tRNA	tRNA9-HisGTG			1			2		1				1		1			2		6						1				1	1						4	2	2	2						3						
tRNA	tRNA9-ValCAC			617			1					1					1		1			1							2				2						1145	1661	1	2		4	1	13						
tRNA	tRNA90-ValCAC			1																											1										2											
tRNA	tRNA97-AsnGTT			1			1	2	2	2	1		1																		1				1	1	1									1						
misc_RNA	ENSG00000199870				1																																				1											
misc_RNA	ENSG00000199875				2																																															
misc_RNA	ENSG00000199964				1		2																																													
misc_RNA	ENSG00000201196				1						1																		1									2														
misc_RNA	ENSG00000201529				9	8	1	1	3	5	1		7	34		39			11												1												1									
misc_RNA	ENSG00000201533				1		2																																													
misc_RNA	ENSG00000201555				1																																															
misc_RNA	ENSG00000201633				1						1				1											3	1					1																				
misc_RNA	ENSG00000202512				2																																															
misc_RNA	ENSG00000207148				1				8				1	13		30					2														68	13																
misc_RNA	ENSG00000207282				1																																															
misc_RNA	ENSG00000222579				2		2							1					1			1					1				1			2										1								
misc_RNA	ENSG00000252171				5		8		4	10	1	1	3							7									4				1		12		6	2	1			3			2	2		21	2			
misc_RNA	ENSG00000252358				1																																															
multiple_misc_RNA_snRNA	none				2			2	1					1								1				10										1																
piRNA	uc003wuy.1				1																																															
piRNA	uc011bxv.1				2	2			1			4		1	4	1				3												1			19	11	51	31	24	25	1			1		4	154	423	70	231	221	111
piRNA	uc011krj.1				1	1	4	6		1	6		1	5		1				4		5					18		4			1			65	88	55	53	40	60	1			1	2		534	673	242	403	345	643
piRNA	uc021ryb.2				1																																															
piRNA	uc032oqi.1				1					1	1			1																						1				2								1				
rRNA	ENSG00000199837				3			1	3	2					2							1											1		29	8	7	18	13	4			7	2				16				
rRNA	ENSG00000199900				5		3	20					1		22					3												1		7	4	4	4	5		16		1		22				2				
rRNA	ENSG00000200036				2		1																												1					2												
rRNA	ENSG00000200238				1																															1													1			
rRNA	ENSG00000200246				1			1																				1							1				1	2							1	1				
rRNA	ENSG00000201532				2																																1						16									
rRNA	ENSG00000202187				3		3	2	6		2	2		4	3	1	1			3								1				1			2	1	1	12	3	17	2	1		1			4		2	2		
rRNA	ENSG00000252001				5	3	6	3	3	1				2										9	1							3				1	1			1												2
rRNA	ENSG00000276036				1																																1															
snoRNA	ENSG00000199631				2	1		1	2				1	2	1			1			1					3				1	1	1	1		1				2		1	2	2	2	4	5						
snoRNA	ENSG00000200354				2						2			3		2				9																		2					14									
snoRNA	ENSG00000201823				1		1	1				2			1																																					
snoRNA	ENSG00000212182				20			3				7																						13	2	25			2	4	11			5							1	
snoRNA	ENSG00000221461				1									1				12																				3							4							
snoRNA	ENSG00000223224				1																						1													2												
snoRNA	ENSG00000229686				2								1																																	1						
snoRNA	ENSG00000249020				3		1																																													
snoRNA	ENSG00000272533				1																																															
snoRNA	ENSG00000281311				1			2					1																						3						3											
snRNA	ENSG00000199368				2																																															
snRNA	ENSG00000199697				1					1																																										
snRNA	ENSG00000199790				1																																															
snRNA	ENSG00000199812				4	2	3		2					2																																						
snRNA	ENSG00000200175				2				1																																											
snRNA	ENSG00000201367				1																																															
snRNA	ENSG00000201436				2																																															
snRNA	ENSG00000206589				1																																															
snRNA	ENSG00000206599				4	2				1																																										
snRNA	ENSG00000206749				2																																															
snRNA	ENSG00000206763				2						1																							1																		
snRNA	ENSG00000206892				2							1																																								
snRNA	ENSG00000206972				1	2																									1																					
snRNA	ENSG00000207072				1				3																																											
snRNA	ENSG00000207089				1																																															
snRNA	ENSG00000207178				1																																															
snRNA	ENSG00000207204				3	3																										1																				
snRNA	ENSG00000207261				3		4																																													
snRNA	ENSG00000207336				1																																															
snRNA	ENSG00000207360				2				1																																											
snRNA	ENSG00000207367				9		5																																													
snRNA	ENSG00000207441				1																																															
snRNA	ENSG00000207449				1																																															
snRNA	ENSG00000207472				1				1																																					3						
snRNA	ENSG00000207501				2										1		4		2																								2									
snRNA	ENSG00000207524				1	4																																														
snRNA	ENSG00000212147				1																																															
snRNA	ENSG00000222139				1																																															
snRNA	ENSG00000222276				2											3																2					5			24						28						
snRNA	ENSG00000252101				1																																															
snRNA	ENSG00000252294				3																																															
snRNA	ENSG00000252996				1																																															
snRNA	ENSG00000271923				1																																															
tRNA	tRNA10-AlaCGC				2		10		5	4			1	2		2	3			7								9									5															
tRNA	tRNA10-ValCAC				8	9	1	4	4	2	1		2	1					1								3					1				1						1	1					2				
tRNA	tRNA12-TrpCCA				1		1		1				1																		3	2		1												1						
tRNA	tRNA129-MetCAT				1	1			1			1	1			1										5		2	1		1						1				2			1		4						
tRNA	tRNA13-PheGAA				1																										1																					
tRNA	tRNA149-LysTTT				1						1								1															1							2	1		2			2					
tRNA	tRNA16-TyrGTA				1																																															
tRNA	tRNA168-TrpCCA				1		2		5						1		29															1	1	2			1				14					1					1	
tRNA	tRNA169-MetCAT				1		2			1				2		2	1					2									2				1									4								
tRNA	tRNA2-GlyTCC				1					2		1	2		1																								1	1												
tRNA	tRNA2-LeuTAA				1			1			1									1		3				1									1		3				2		1				9	6	1	10	2	13
tRNA	tRNA22-AspGTC				1																																															
tRNA	tRNA23-LysTTT				1					1							1								2																											
tRNA	tRNA27-CysGCA				5					1					2	2																	2	2					7				7		4							
tRNA	tRNA31-PseudoTGG				1																										1												1									
tRNA	tRNA40-ValTAC				1		1					1	1			1	1											1				1			1	1	1		1										1			
tRNA	tRNA42-LeuTAG				1	1																																														
tRNA	tRNA46-SerAGA				1						1					1											1																									
tRNA	tRNA6-LysCTT				3			3	1				1		1	2		1			2			2		7		1				1		1		5				1												
tRNA	tRNA65-AlaAGC				2	1		2		2	3	1	2	6	3	2						1		1	1			1	2		1			1							3	1	2			1						
tRNA	tRNA72-AspGTC				2	18	6		11	7		3	11	26	10	2		1	1		1						27					1	3	3	6		7		3			34		5								
tRNA	tRNA83-LeuTAA				1	1	2	2	1	1						3										1					2			1																		
tRNA	tRNA9-IleAAT				2												4						3								1			1																		
tRNA	tRNA97-MetCAT				4		3		6	1		3	1	2	1	2													1					4	10		1		1		1											
misc_RNA	ENSG00000199565					1																															5	3	3	3							1					
misc_RNA	ENSG00000199605					1			1									1									1					2			1																	
misc_RNA	ENSG00000201442					2		6			1					2																							1						1	3						
misc_RNA	ENSG00000201466					1			2				1																1		1							2														
misc_RNA	ENSG00000206911					1																																														
misc_RNA	ENSG00000206914					18				6									7																														23			
misc_RNA	ENSG00000207024					2	18			52			29	1		154		22		26						1			11		3	1	4				8					14		31	1	28						
misc_RNA	ENSG00000207157					1						1	1											1																												
misc_RNA	ENSG00000207292					1																																														
misc_RNA	ENSG00000207474					1																																						1								
misc_RNA	ENSG00000212418					3	3			1																																										
misc_RNA	ENSG00000222148					4				3		37			1	63		12	13			12			31			15			26							17			242	23			3		1					
misc_RNA	ENSG00000239464					2																																														
misc_RNA	ENSG00000241152					7																																														
misc_RNA	ENSG00000242360					1											1																																			
misc_RNA	ENSG00000243738					1																																														
misc_RNA	ENSG00000244328					1																																														
misc_RNA	ENSG00000252047					1				2						1																								3				1								
misc_RNA	ENSG00000275878					3	1				1		1						5														1		5			3	5	1				2								
misc_RNA	ENSG00000283691					2	1	20	3		11	3		25	7									1		8		3	12				7	13		2		1		1	12										2	
piRNA	uc004abd.1					1																																														
piRNA	uc021wpy.1					1																																														
piRNA	uc031uso.1					1						2		1																																						
rRNA	ENSG00000199450					1		1						1	1			1		1															1		1	2	1	1								1	2	3	1	2
rRNA	ENSG00000199564					1			2		1			29									37													15	8		4	3											67	
rRNA	ENSG00000200434					19	10				7	1					8		4									20	1		4						3	1		6			1					1	8	2	2	5
rRNA	ENSG00000251884					3																										1								1												
rRNA	ENSG00000272435					45	1		3	1		2		111						4															64	8		17	4	23				1	4			1	8			
snoRNA	ENSG00000201042					2																																														
snoRNA	ENSG00000201448					1	1																									1														1						
snoRNA	ENSG00000202529					4	1															6	43														3	2														
snoRNA	ENSG00000221716					1																																								2						
snoRNA	ENSG00000238649					2	5		2	2	1	2		2	1	1		1							1							2				1		2	3		19		14		1	5						
snoRNA	ENSG00000265185					2		2	7	41	4		4	6	2				12	14	8	11						28	6	1	1	15	1		2	9	3	8		1		4	2									2
snRNA	ENSG00000199568					1	1													2														1		1																
snRNA	ENSG00000199731					1					1																																									
snRNA	ENSG00000207434					3																																														
snRNA	ENSG00000207507					2																																														
snRNA	ENSG00000223078					1			1																																											
snRNA	ENSG00000275538					2									1																																					
snRNA	ENSG00000277918					2	2	5		2						1		1									2												2	1									1			
tRNA	tRNA1-PseudoCCC					1																																														
tRNA	tRNA106-HisGTG					1																			1									1										1								
tRNA	tRNA132-ValAAC					10																													2		1															
tRNA	tRNA138-ArgACG					3		2	1			7	1	4		1						5											3				14			8		3										
tRNA	tRNA17-LeuCAG					6				1	1				1				7										1				1																			
